L,a,b
41.8114,-17.4299,47.8846
27.8029,54.3947,-83.2674
6.9764,33.4309,-37.9813
90.2243,-57.1083,1.6685
43.1954,77.4644,-54.986
75.3297,-74.5902,73.2865
59.9478,-57.8105,39.9273
73.4552,-59.4662,24.0695
30.8577,76.8276,-104.6458
49.0099,86.5026,-68.3959
49.4718,15.0392,-63.2476
53.5596,-16.5883,57.8788
35.2102,68.1653,-54.0101
83.901,-34.8034,82.4753
39.0513,16.5263,-57.1502
85.7015,-62.7856,16.9769
19.471,47.4774,-38.8019
69.5856,-69.4553,68.696
18.279,-26.3906,18.9519
35.4812,73.1598,-76.0924
18.0471,55.6687,-75.5794
21.3955,49.671,-38.8696
39.013,63.9034,39.8615
60.9215,3.6234,-59.2946
51.4883,78.8847,33.5179
20.3818,-17.4903,-2.9458
71.7204,-37.4666,-14.5446
38.2216,-43.1138,43.5593
25.0921,40.1747,-68.7217
31.6508,68.2271,-72.5373
43.3982,77.9424,-56.4082
85.4195,-73.7873,43.2116
49.0837,22.3866,56.9581
86.3442,-63.0643,16.8433
47.0027,78.1969,-29.1047
63.9514,-48.4314,11.4756
45.1737,-37.8138,49.6364
7.8943,32.9161,-30.7501
19.1165,57.1399,-78.0657
21.0612,13.0856,-40.4418
50.7286,77.4693,50.075
46.3415,84.4687,-73.4232
84.2153,-4.433,84.6549
67.3296,-29.6773,68.7576
5.0505,30.4722,-41.2227
3.1111,4.0779,-17.1637
31.7373,53.3963,45.4453
29.4474,33.4827,41.0794
77.6364,-75.6822,75.171
26.9891,-7.6494,35.6927
17.8776,12.2513,26.2173
50.7216,60.611,62.4192
35.9563,60.4002,35.8582
80.6826,-66.4644,31.1702
64.6027,-45.2182,4.6658
27.2066,29.5343,38.3944
4.0024,21.9104,-21.7264
63.9064,-29.7949,-10.1929
36.194,15.8305,45.4925
76.6584,-70.1584,47.5385
27.4211,53.6989,-18.4024
50.1391,-54.1035,53.0689
8.2808,28.7386,4.2929
50.824,-3.9266,-43.4837
37.9392,64.3704,2.3886
84.2666,-49.4738,-6.0232
77.7743,-60.9393,22.104
35.4324,50.995,48.637
78.0333,-57.9085,76.3091
66.5473,-58.6769,66.6216
72.9184,-61.7159,30.11
60.1346,-35.7913,-7.4792
35.3655,-39.0818,26.9496
44.7934,72.8067,-0.7813
20.9598,53.6645,-76.8043
26.6606,-14.8092,-12.0933
75.9439,-33.8442,-23.3106
29.36,66.8274,-76.3982
37.3663,72.8085,-65.3044
85.4047,-69.9978,33.3922
49.373,-50.8124,52.5682
3.2483,14.6182,4.7232
46.0666,15.6421,-61.3855
72.8918,-43.4907,72.7016
17.678,10.02,25.8635
46.1229,-48.2526,35.8557
76.8516,-67.3872,74.8755
42.1413,67.3306,51.6764
38.4922,75.5222,-72.1985
72.4048,13.1862,75.9359
31.7219,61.8644,-40.8166
34.5074,62.5015,-21.7431
52.8448,-43.3568,13.2623
45.5921,-18.1045,-21.9912
61.455,33.5172,68.4101
86.1684,-79.0191,82.1735
75.1542,22.0472,78.9774
50.8778,63.4903,62.923
35.8772,60.1845,40.7598
57.1805,-52.2233,28.4305
51.835,-49.1802,54.7044
35.5295,-13.0156,-21.2347
82.8833,60.1065,0.9043
40.3742,59.912,53.9242
