L,a,b
22.2862,44.7558,18.9018
21.1903,58.79,-76.379
58.6473,-60.7378,53.7663
88.6469,-46.0673,-15.2336
73.8993,-34.4855,74.0391
64.5723,-60.1214,64.9001
46.8779,34.8568,56.2795
42.957,68.5431,40.5235
32.1993,76.908,-101.2325
31.868,78.4841,-106.9021
45.0888,71.3346,32.2027
16.5441,38.293,10.4366
15.216,27.6696,23.2989
44.0937,76.9374,-45.2313
55.6358,56.9815,66.0146
20.0864,41.7835,29.4876
49.9478,78.5654,4.8532
40.911,66.0084,45.4307
54.7219,-24.4387,-20.2058
27.7727,62.636,-66.4773
80.3156,-79.2889,73.5994
46.3776,73.5008,17.9739
49.8845,15.1922,-63.7066
49.2233,80.0248,-21.8828
63.411,23.7136,69.183
51.1009,-55.5713,52.907
58.1837,-57.5426,42.5492
58.318,-60.3835,53.1501
29.6153,74.7044,-101.617
21.3307,60.6118,-81.5993
32.7993,60.3519,-20.6967
41.5744,-39.1029,17.4194
60.8576,52.594,69.8479
29.2336,-22.1254,-3.0385
0.7146,5.0219,-13.6394
39.3164,71.9828,-48.9767
49.1041,10.4607,-58.1895
61.826,-24.4253,64.4061
39.0547,81.1948,-93.0435
17.9848,43.0492,-22.4069
19.6458,55.4771,-70.3992
42.8491,74.7331,-40.1288
1.4879,-0.2146,-4.2391
34.6386,-18.2128,41.7731
53.2912,84.5658,-18.8808
55.5057,-20.7688,-25.868
42.6547,73.0999,-29.5681
68.3168,38.9481,74.703
31.6533,38.8227,-72.7751
77.3879,-42.2426,76.5612
47.7553,86.2585,-74.4617
55.0914,65.7529,66.6591
74.4583,-72.1993,59.3263
44.6111,74.4901,-21.4939
43.235,-21.9068,-14.8697
70.1723,-65.766,45.8553
67.2345,-59.2589,31.9712
16.8473,26.4937,-49.9229
72.5338,-58.1762,22.2922
46.4393,72.3555,52.9627
42.9767,82.1952,-80.2012
41.8592,68.2375,15.5285
70.5953,-32.3084,71.3691
50.6449,89.7696,-75.8271
28.0693,68.8883,-88.0183
88.6132,-71.2634,32.1574
84.0228,-78.7449,61.4751
75.1016,-64.2732,33.4731
55.5224,87.9572,-25.893
47.8632,41.2168,57.768
57.5523,-47.8765,17.5098
41.2379,69.172,-8.3256
22.3729,47.9943,-73.2368
86.0523,-80.04,82.032
32.3326,77.509,-102.7126
45.483,-12.4874,-29.2533
78.4908,-22.4174,78.6306
51.9909,86.6592,-48.5557
30.5901,75.403,-101.108
54.9364,87.8972,-31.5271
24.6279,63.9792,-88.5652
65.4733,-58.6101,65.7234
69.6593,-67.8775,54.2861
38.349,64.4701,8.2054
30.7683,-32.0775,14.9004
43.9392,73.6757,-21.3617
41.8723,-16.6371,-21.1675
48.8378,-4.4338,-41.4633
44.6704,75.529,-29.908
50.9225,-53.1484,42.8607
72.4055,-60.4856,71.4572
31.5114,76.1014,-100.6882
19.2308,35.2551,29.1733
71.9187,-32.2775,-22.4128
47.9187,32.2426,56.8933
45.0854,76.8543,-36.4445
38.2667,19.7929,47.5918
71.8482,-62.1444,70.9135
72.9666,-73.8732,71.1308
15.6042,35.6348,24.227
23.8526,38.8242,-66.5267
28.5519,26.2435,-58.783
47.0835,12.6143,54.4405
40.1262,-34.0199,45.5734
44.7626,78.5521,-50.62
78.5508,1.4409,80.2664
45.036,-23.1238,-14.5221
51.9565,-45.0847,54.9939
51.7992,65.8894,63.9937
48.8042,75.8241,30.2384
50.8472,84.1169,-39.9827
54.4861,84.9876,-8.0029
41.2373,66.2188,54.8114
58.6002,5.516,-59.7102
66.8816,6.2415,70.7245
28.5119,71.8434,-96.0038
34.871,6.2151,43.5897
22.8066,26.4883,33.1508
32.9063,-36.7502,39.3821
59.5936,-62.4503,60.6292
31.6327,76.8895,-102.7621
35.9353,-15.4746,43.0284
83.5379,-22.4571,82.9018
53.5685,81.3096,34.7225
50.5304,49.6434,60.9264
5.0982,31.9448,-45.3569
45.0795,82.7945,-72.1145
81.5714,-45.1828,79.935
70.3855,-40.8001,70.7288
50.8079,77.3588,59.8386
34.689,66.4214,-47.6006
7.1363,36.6151,-48.1346
29.4288,-24.7474,37.0252
73.2799,-62.024,72.1208
64.834,-39.1279,-6.1068
42.1707,26.5958,-69.4284
51.5936,80.7426,1.9228
46.6568,85.4067,-76.3004
45.5579,79.9235,-53.4031
56.4088,54.9079,66.4111
59.8544,-58.9768,43.9839
49.8449,66.387,62.4764
19.4535,44.7263,-22.0475
30.7281,-13.5965,38.7334
6.7553,34.7659,-48.7897
25.5754,50.5511,-78.1138
64.392,-39.1124,65.7614
86.4452,-51.2938,-4.9099
13.7382,-22.3802,14.2678
49.8761,17.3969,-65.9676
21.5385,50.2778,-41.236
